id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score,Country,abbreviation,fullname
tm313120,Chasing Coral,MOVIE,"Coral reefs are the nursery for all life in the oceans, a remarkable ecosystem that sustains us. Yet with carbon emissions warming the seas, a phenomenon called ??oral bleaching??Ä? sign of mass coral death??as been accelerating around the world, and the public has no idea of the scale or implication of the catastrophe silently raging underwater.",2017,NA,93,['documentation'],US,NA,tt6333054,8.1,5143,10.875,7.9,United States,,
tm230524,"Chat?, The King of Brazil",MOVIE,"The true story of Assis Chateaubriand, the first magnate of communications in Brazil. Due to his influence during the late 1930s up to the early 1960s, he has come to be called 'the Brazilian Citizen Kane'.",2015,NA,100,"['comedy', 'drama']",BR,NA,tt0337926,5.4,18,2.269,5.1,Brazil,,
tm155507,Chelsea Handler: Uganda Be Kidding Me Live,MOVIE,"A culmination of Chelsea Handler's stand-up comedy tour in support of her fourth New York Times #1 Bestseller, Uganda Be Kidding Me.",2014,NA,71,['comedy'],US,NA,tt4079776,5.8,1165,3.445,6.4,United States,,
tm176481,Chennai Express,MOVIE,"Rahul embarks on a journey to a small town in Tamil Nadu to fulfill the last wish of his grandfather: to have his ashes immersed in the Holy water of Rameshwaram. En route, he meets a woman hailing from a unique family down South. As they find love through this journey in the exuberant lands of South India, an unanticipated drive awaits them.",2013,PG-13,141,"['romance', 'comedy', 'drama', 'action']",IN,NA,tt2112124,6.1,53293,9.481,6.6,India,,
tm166740,Chhota Bheem & Krishna in Mayanagari,MOVIE,"Bheem and his Friends are having a great time in Dwarka with their friend Kanha.Mayandri tries to attack Kanha with some leopards but fails as Kanha fights them off with ease.Bheem gets injured and his friend Krishna offers to heal up his injury and just before the Dholakpurians leave Krishna offers some gifts to them.Bheem gets a pendant,Chutki gets a stylish ring,Raju gets a catapult and Jaggu got a compass whereas Kalia got a powder for when he blows on anyone can hear what they are thinking and Dholu and Bholu got a box in which they could ask for anything they want in food.Bheem suddenly feels it was time for everyone to go back to Dholakpur and they board their ship and bid farewell to Krishna their beloved friend.",2011,G,66,"['animation', 'action', 'fantasy']",IN,NA,tt16235600,9,5,0.963,5.1,India,,
tm250247,Chhota Bheem & Krishna vs Zimbara,MOVIE,"Chhota Bheem Aur Krishna vs Zimbara is an Indian animated movie featuring Bheem, the star of the Chhota Bheem series. It is the 19th movie of the series. Running Time - 65 mins.",2013,G,64,['animation'],,NA,tt6417984,8.6,13,2.025,NA,#N/A,,
tm1077037,Chhota Bheem & Krishna: Pataliputra- City of the Dead,MOVIE,Krishna needs Bheem's help: The ruined city of Pataliputra has been cursed! Can the friends do what it takes to bring light back into this town?,2010,G,65,['animation'],IN,NA,tt6543110,NA,NA,NA,NA,India,,
tm529723,Chhota Bheem and the Broken Amulet,MOVIE,"Chhota Bheem And The Broken Amulet is an Indian animated movie featuring Bheem, the star of the Chhota Bheem series.",2012,NA,63,['animation'],IN,NA,tt6417816,7.5,16,NA,NA,India,,
tm529733,Chhota Bheem and the ShiNobi Secret,MOVIE,"Prof. Dhoomketu is trying to build a new machine based on how a volcano works. Dholu and Bholu mess around which gives Kalia a new 'smoking' hairdo. As Bheem and Chutki try to restore the machine, Indumati arrives in with Bheem's Samurai friend Sam. Jack relates that his entire clan in Iga, Japan is under threat from an unseen enemy. The youngsters of his village are disappearing at an alarming rate and efforts to trace them are coming to naught. Further, their king has been threatened by the cruel Emperor Hidoi Shin. The samurai of Sam's village are loyal to the king and lead his army but the disappearance of the good fighters has now put them at a disadvantage. Sam's grandfather talks about the lurking of a secret shadow but time is running out. Bheem and gang travel to Japan with Jack to save his clan and solve the Shinobi secret.",2013,G,63,['animation'],IN,NA,tt6417830,8.6,6,NA,NA,India,,
tm175364,Chhota Bheem Aur Hanuman,MOVIE,"The grouchy Makhichoos, whoe hates Diwali, is digging furiously in the Dholakpur forest searching for a demon.  Soon the demon emerges from the roots of a tree.  Both the evil witch and Makhichoos plan to build a new kingdom on the eve of Diwali and teach Bheem a lesson.  While Bheem and his friends are preparing for the celebrations, Chhota Hanuman also comes there to be a part of the festival.  But something worse happens; Makhichoos and the evil witch kidnap princess Indumati.  Will Bheem and Hanuman together rescue Indumati and triumph over the evil.",2013,G,67,"['fantasy', 'animation']",IN,NA,tt6417854,7.1,33,1.077,6.2,India,,
tm598375,Chhota Bheem Aur Krishna,MOVIE,"About 500 years ago, the five kingdoms around IIT Dholakpur joined together to end Kirmada`s rule. Now a mysterious force has brought him back from the dead. miss Bheem beat Kirmada & save the kingdom of IIT Dholakpur once again!",2008,G,69,"['animation', 'fantasy']",IN,NA,tt2827516,6.4,310,1.229,6.8,India,,
tm481846,Chhota Bheem Dus pe Dus,MOVIE,"In Kerala, Bheem suffers a humiliating defeat- not only is a rare temple stone is stolen under his watch, but the thief easily defeats Bheem and slips away.",2014,G,62,['animation'],XX,NA,tt6417940,5.1,23,NA,NA,#N/A,,
tm528287,Chhota Bheem in African Safari,MOVIE,"The kids visit Africa to see how the tribals live in harmony with nature. But when they reach, they see that the place has been taken over by the chieftain Hatari. Persistent drought is just one effect of his magical powers. Bheem realizes that they must first address the evil magic.",2015,NA,62,['animation'],,NA,tt6418390,6.5,12,NA,NA,#N/A,,
tm200838,Chhota Bheem In Dholakpur to Kathmandu,MOVIE,"Bheem and his friends are invited to spend their vacations in Kathmandu.Their trip is not without mishap, as a young ape is separated from its father. Bheem defeats the jaguars, and unites the ape with its father.",2012,G,70,['animation'],XX,NA,tt6442774,7.8,41,0.704,7,#N/A,,
tm250364,Chhota Bheem in the Incan Adventure,MOVIE,A huge bird swoops down and kidnaps Princess Indumati. The army's scoured the whole area and the neighboring kingdoms but there's no trace of Princess Indumati. The only thing Bheem finds was strange bird-feathers from the land of Incas. Bheem and team starts searching in the forests of Mexico where Dholu-Bholu fall off into a river. Bheem and others jump in to save them but are soon carried off by the rivers currents to the shores of a desolate valley. The valley is covered with heaps and heaps of ashes all around one such mound lie near the princess bangles. The sun rises and the mounds of ashes takes the shape of humans. The Incas where they meet Princess Indumati.,2013,G,64,"['animation', 'fantasy']",XX,NA,tt4171600,7.4,31,0.6,NA,#N/A,,
tm940835,Chhota Bheem Ka Roosi Romanch,MOVIE,"Prof Dhoomketu?? crude transportation machine transports the kids to Ivano village in Russia, where they come across an evil magician Kazimir. They fight him to rescue Sofia and her father Czar Fedor.",2019,G,62,['animation'],,NA,NA,NA,NA,1.219,NA,#N/A,,
tm481509,Chhota Bheem Master of Shaolin,MOVIE,"Bheem and his friends accompany Ming, a monk, to the Shaolin temple to fight against a dangerous Kaifu who wants to take control of the Shaolin temple.",2011,G,75,['animation'],,NA,tt6442670,6.3,112,NA,NA,#N/A,,
tm528044,Chhota Bheem Neeli Pahaadi,MOVIE,"The kids are excited, as they have all planned a trip to the Neeli Pahadi right on the borders of Dholakpur. The Neeli Pahadi has always been an uneasy reality of Dholakpur with rumours of ghostly inhabitants and a mysterious past which goes back right to the days when the kingdom of Dholakpur was established.",2013,G,63,['animation'],,NA,tt6442694,8.5,9,NA,NA,#N/A,,
tm528043,Chhota Bheem the Crown of Valhalla,MOVIE,"Bheem and his friends are returning from the kingdom of Raunakpur when lightning strikes and they are caught in a sea-storm. Their ship 'Dholakpur Queen' is tossed and turned on the waves and captain Samudra Sen tries his best to keep it afloat. When the storm abates, Samudra Sen is stunned and says 'Valhalla'.",2013,NA,64,['animation'],,NA,tt6442766,8.1,14,NA,NA,#N/A,,
tm1077038,Chhota Bheem: Journey to Petra,MOVIE,"The king has been away to meet an old friend, but when he sends for urgent help, Bheem finds himself on an action-packed rescue mission to Egypt!",2011,G,67,['animation'],IN,NA,tt6543194,NA,NA,NA,NA,India,,
tm980439,Chico Bon Bon and the Very Berry Holiday,MOVIE,"The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster.",2020,G,25,"['family', 'animation']",,NA,tt13411942,5.9,39,16.249,5.8,#N/A,,
tm464947,Chief Daddy,MOVIE,"Chief Daddy tells the story of billionaire industrialist Chief Beecroft, a flamboyant benefactor to a large extended family of relatives, household staff and assorted mistresses. Chief lives large, like there?? no tomorrow, until the day he dies suddenly and the ??ullion van??stops. What?? in his will and who gets all that money? What happens next will surprise you, as Chief Daddy has the last laugh from beyond the grave.",2018,NA,98,"['comedy', 'drama']",NG,NA,tt9652322,4.7,269,2.748,5.6,Nigeria,,
tm1147041,Chief Daddy 2: Going for Broke,MOVIE,"The Beecroft family are ready to spend all of Chief Daddy's inheritance, but not if the CEO of his company has anything to do with it.",2021,NA,113,['comedy'],NG,NA,tt16760592,3,133,78.564,5.7,Nigeria,,
tm960430,Child of Kamiari Month,MOVIE,"This is a story of a 12-year-old girl, Kanna, born as a descendant of the Gods. Her family has a mission to deliver offerings from all over Japan to the Gods' gathering in Izumo. Although Kanna's mother was to complete the mission, her passing prompted Kanna to finish the task, hoping she could reunite with her dead mother in the Gods' land at the end of her journey.",2021,NA,99,"['fantasy', 'animation', 'drama']",JP,NA,tt13057626,5.9,633,7.305,6.2,Japan,,
tm320211,Children of God,MOVIE,"A former member examines the lingering effects of being raised in the Family, a cult whose disturbing practices include the sexual abuse of children.",1994,NA,63,['documentation'],GB,NA,tt6051792,6.4,589,2.809,6.4,United Kingdom,,
tm203186,Children of Shatila,MOVIE,"Many people first became aware of the Shatila refugee camp in Lebanon after the shocking and horrific Sabra-Shatila massacre that took place there in 1982. Located in Beirut's ""belt of misery,"" the camp is home to 15,000 Palestinians and Lebanese who share a common experience of displacement, unemployment and poverty.  Fifty years after the exile of their grandparents from Palestine, the children of Shatila attempt to come to terms with the reality of being refugees in a camp that has survived massacre, siege and starvation.  Director Mai Masri focuses on two Palestinian children in the camp: Farah, age 11 and Issa, age 12. When these children are given video cameras, the story of the camp evolves from their personal narratives as they articulate the feelings and hopes of their generation.",1999,NA,50,"['documentation', 'history']",LB,NA,tt0243174,8.2,74,1.174,6.7,Lebanon,,
tm460829,Children of the Sea,MOVIE,"Ruka is a young girl whose parents are separated and whose father works in an aquarium. When two boys, Umi and Sora, who were raised in the sea by dugongs, are brought to the aquarium, Ruka feels drawn to them and begins to realize that she has the same sort of supernatural connection to the ocean that they do. Umi and Sora's special power seems to be connected to strange events that have been occurring more and more frequently, such as the appearance of sea creatures far from their home territory and the disappearance of aquarium animals around the world. However, the exact nature of the boys' power and of the abnormal events is unknown, and Ruka gets drawn into investigating the mystery that surrounds her new friends.",2019,NA,112,"['thriller', 'animation', 'fantasy', 'scifi', 'drama', 'family']",JP,NA,tt9850064,6.5,2622,20.711,7.2,Japan,,
tm178106,Chillar Party,MOVIE,"A gang of innocent but feisty kids who lead carefree lives in Chandan Nagar colony, take on the big bad world of politics when one of their friend's life is endangered.",2011,G,140,"['drama', 'comedy', 'family']",IN,NA,tt1841542,7.5,7686,4.453,7,India,,
tm831196,Chippa,MOVIE,"On the eve of his tenth birthday, when Chippa receives a letter for his long-absent father, he decides to leave his pavement abode to find out more.",2019,G,90,['drama'],IN,NA,tt8976464,6.4,1087,1.817,5,India,,
tm130647,Chloe,MOVIE,"A doctor hires an escort to seduce her husband, whom she suspects of cheating, though unforeseen events put the family in danger.",2009,R,99,"['thriller', 'drama', 'romance', 'european']",US,NA,tt1352824,6.3,72916,10.688,6,United States,,
tm376111,Chocolate City: Vegas Strip,MOVIE,"The Chocolate City dancers come together to save their club from foreclosure. They decide to enter a national stripper competition, traveling all the way to Las Vegas to try their luck.",2016,PG-13,89,['drama'],US,NA,tt5485482,3.7,297,5.246,6.5,United States,,
tm893874,Choked: Paisa Bolta Hai,MOVIE,A bank employee weighed down by her jobless husband's debts - and her own broken dreams - finds a secret source of seemingly unlimited cash in her home.,2020,NA,114,"['drama', 'thriller']",IN,NA,tt11651780,5.7,5333,2.882,6.7,India,,
tm1166024,Choose or Die,MOVIE,"In pursuit of an unclaimed $125,000 prize, a broke college dropout decides to play an obscure, 1980s survival computer game. But the game curses her, and she?? faced with dangerous choices and reality-warping challenges. After a series of unexpectedly terrifying moments, she realizes she?? no longer playing for the money but for her life.",2022,NA,85,"['thriller', 'drama', 'horror']",GB,NA,tt11514780,4.7,14911,45.532,5.3,United Kingdom,AE,United Arab Emirates
tm473813,Chopsticks,MOVIE,A gifted but insecure woman is in for a transformative experience when she enlists the help of an enigmatic con artist to recover her stolen car,2019,NA,100,"['drama', 'comedy']",IN,NA,tt10243678,6.5,4689,5.393,5.9,India,,
tm339197,Chota Bheem Aur Ganesh in the Amazing Odyssey,MOVIE,"Raja Laalachmaan and his sidekick, Jadoogar Jobba, awaken an ancient monster Krur. This monster, needs the souls of the purest kingdom. Raja Laalachmaan realizes the best place to find the purest souls is Dholakpur. Raja Laalachmaan and his soldiers take over Dholakpur. Bheem manages to rescue many people, but Laachlamaan kidnaps Raja Indraverma-ll and Princess Indumati says that if the people of Dholakpur do not surrender themssssselves, they will die. So, Bheem and his friends go on the trail. They are helped by ancient clues left in the forest and at sea. But the one person that helps them the most is Chhota Ganesh.He says he is always present on New years, but Kru's invasion of Dholakpur has already started. Can Bheem and Ganesh defeat him??",2012,G,65,['animation'],IN,NA,tt6356352,7.8,12,0.893,NA,India,,
tm207734,Chris D'Elia: Incorrigible,MOVIE,"Comedian and actor Chris D??lia, known for his dynamic physical comedy, explains why the NFL would be way more entertaining if it were real lions, bears and Vikings battling each other, that babies are the worst prize ever, and that you should never ask a Cuban directions unless you??e ready for the best time of your life.",2015,R,83,"['comedy', 'documentation']",US,NA,tt4624852,6.4,1535,4.419,6.2,United States,,
tm325610,Chris D'Elia: Man on Fire,MOVIE,"Unbridled comic Chris D'Elia reconsiders his approach to major life events like marriage, not having kids and buying pants for your friends.",2017,NA,65,"['comedy', 'documentation']",US,NA,tt7068896,6.5,1720,2.801,6.2,United States,,
tm881891,Chris D'Elia: No Pain,MOVIE,Chris D'Elia takes the stage in Minneapolis to offer his thoughts on everything from self-censorship to problematic dolphins to lame mutant powers.,2020,NA,55,['comedy'],US,NA,tt11987296,5.9,1772,2.156,6.6,United States,,
tm1202960,Chris Distefano: Speshy Weshy,MOVIE,"Fueled by six martinis and a sold-out crowd, comedian Chris Distefano talks getting yelled at on social media, and why he is waiting for his dad to die.",2022,NA,36,['comedy'],,NA,NA,NA,NA,9.88,8,#N/A,CG,Congo (Republic)
tm988736,Chris Rock Total Blackout: The Tamborine Extended Cut,MOVIE,"In this extended cut of his 2018 special, Chris Rock takes the stage for a special filled with searing observations on fatherhood, infidelity and politics.",2021,PG-13,97,['comedy'],,NA,tt13935770,7,286,1.4,NA,#N/A,,
tm372891,Chris Rock: Tamborine,MOVIE,"Chris Rock takes the stage for his first comedy special in 10 years, filled with searing observations on fatherhood, infidelity and American politics.",2018,NA,64,"['comedy', 'documentation']",US,NA,tt8005338,6.6,6816,7.142,6.5,United States,,
tm215054,Chris Tucker: Live,MOVIE,Comedian Chris Tucker performs live.,2015,NA,92,"['comedy', 'documentation']",US,NA,tt4835636,6.3,1936,5.081,6,United States,,
tm1200703,Christina P: Mom Genes,MOVIE,"Comedian Christina P examines the joys and drags of parenting, partnering and more through a no-nonsense Gen-X lens in this special.",2022,NA,62,['comedy'],,NA,tt19724012,NA,NA,10.543,8,#N/A,BY,Belarus
tm353627,Christina P: Mother Inferior,MOVIE,"Christina Pazsitzky hits Seattle with a biting dose of reality, telling truths about her childhood, getting older and the horrors of giving birth.",2017,NA,59,['comedy'],US,NA,tt7057376,6.4,941,4.556,6.1,United States,,
tm209987,Christine,MOVIE,"The story of Christine Chubbuck, a 1970s TV reporter struggling with depression and professional frustrations as she tries to advance her career.",2016,R,115,['drama'],US,NA,tt4666726,6.9,14977,8.408,6.8,United States,,
tm54450,Christine,MOVIE,"Geeky student Arnie Cunningham falls for Christine, a rusty 1958 Plymouth Fury, and becomes obsessed with restoring the classic automobile to her former glory. As the car changes, so does Arnie, whose newfound confidence turns to arrogance behind the wheel of his exotic beauty. Arnie's girlfriend Leigh and best friend Dennis reach out to him, only to be met by a Fury like no other.",1983,R,90,"['horror', 'thriller', 'european']",US,NA,tt0085333,6.7,80945,19.311,6.8,United States,,
tm444799,Christmas Catch,MOVIE,"Detective Mackenzie Bennett is hot on the trail of Carson, a suspected diamond thief, and goes undercover to catch him in the act. While undercover, Mack not only falls for Carson, but begins to suspect that he's been framed. Are feelings clouding Mack's judgment or are they focusing on the wrong suspect?",2018,NA,80,"['romance', 'comedy', 'crime']",CA,NA,tt8322908,5.3,1428,3.677,5.3,Canada,,
tm975398,Christmas Crossfire,MOVIE,"A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him.",2020,NA,105,"['thriller', 'crime', 'comedy']",DE,NA,tt13446424,4.8,1359,10.138,4.5,Germany,,
tm363787,Christmas in the Heartland,MOVIE,"Kara and Jessie are two teenage girls from very different worlds, but with a little Christmas magic, they find they have much more in common than they ever imagined.",2017,NA,90,['family'],US,NA,tt3396114,5.9,1414,5.892,6.3,United States,,
tm359714,Christmas Inheritance,MOVIE,"To inherit her father's company, socialite Ellen must first visit his small hometown, where she learns the value of hard work and helping others.",2017,NA,105,"['romance', 'comedy', 'drama']",US,NA,tt7608534,5.7,11693,18.065,6.4,United States,,
tm363329,Christmas Wedding Planner,MOVIE,"Wedding Planner, Kelsey Wilson, is about to have her big break: planning her beloved cousin's lavish and exclusive wedding. Everything is going smoothly until Connor McClane, a devilishly handsome private investigator, shows up and turns Kelsey's world upside-down. Hired by a secret source, Connor quickly disrupts the upcoming nuptials but wins Kelsey's heart in the process.",2017,PG,86,['romance'],CA,NA,tt7074092,4.3,5913,11.074,5.5,Canada,,
tm446424,Christmas with a Prince,MOVIE,"Pediatric specialist Tasha Mason is focused on one thing; keeping the kids in her ward as healthy and happy as possible. So when her high-school crush, who just happens to be handsome Prince Alexander Cavalieri, breaks his leg on a nearby ski-slope, Tasha is forced to allow him to secretly get well on her floor and she?? furious that a spoiled Royal is interrupting the precious healing time her kids so badly need. Soon, however, Tasha learns that some tough love and a lot of Christmas spirit, could turn this royal pain into a knight in shining armor.",2018,NA,82,"['romance', 'drama']",CA,NA,tt8667202,5.2,1627,8.263,5.1,Canada,,
tm440946,Christmas with a View,MOVIE,"This Christmas, Thunder Mountain Ski Resort is abuzz when celebrity chef Shane Roarke is named the new head chef. Clara Garrison isn't as excited and is instead focused on getting resettled after her failed attempt at opening a restaurant in the city. With their paths constantly crossing, will their shared passion for cooking bring them together or will secrets keep them apart?",2018,NA,90,"['romance', 'drama']",CA,NA,tt8041006,5.1,4544,11.557,5.8,Canada,,
tm86995,Christmas with the Kranks,MOVIE,"When their only daughter Blair leaves the family nest, Luther and Nora Krank decide to book an island cruise to beat the yuletide blues and just skip the holidays. But their decision to boycott tradition has the whole neighborhood in an uproar, and when Blair call son Christmas Eve to announce a surprise visit with her new fianc?e, the Kranks have just twelve hours to perform a miracle and pull themselves and their neighbors together to throw the best celebration ever!",2004,PG,99,"['comedy', 'family']",US,NA,tt0388419,5.4,49090,13.399,6.1,United States,,
tm245722,Chronically Metropolitan,MOVIE,A case of writer's block inspires a young novelist to return home to New York City and reconnect with his engaged ex and his bohemian parents.,2016,NA,86,"['drama', 'comedy']",US,NA,tt5078796,5,1503,4.043,5.2,United States,,
tm110766,Chronicle of a Disappearance,MOVIE,"Chronicle of a Disappearance unfolds in a series of seemingly unconnected cinematic tableaux, each of them focused on incidents or characters which seldom reappear later in the film. Among the many unrelated scenes, there is a Palestinian actress struggling to find an apartment in West Jerusalem, the owner of the Holy Land souvenir shop preparing merchandise for incoming Japanese tourists, a group of old women gossiping about their relatives, and an Israeli police van which screeches to a halt so several heavily armed soldiers can get off the car and urinate.",1996,NA,88,['drama'],US,NA,tt0115895,6.9,718,1.958,6.7,United States,,
tm29731,Chup Chup Ke,MOVIE,"A debt-ridden young man attempts suicide, but is rescued only to find that his luck is finally turning.",2006,G,165,"['comedy', 'drama', 'romance']",IN,NA,tt0464160,6.9,10528,4.791,6.1,India,,
tm319310,CIA: Comrade In America,MOVIE,"A young Aji Mathew is a communist who goes the whole nine yards for the ideologies he believes in. When the girl he loves leaves to the US out of the blue and her parents fix her wedding, Aji is left with just a fortnight to reach the country albeit with no passport or visa. How far he is willing to go for love forms the plot.",2017,NA,134,"['romance', 'drama', 'action']",IN,NA,tt5925772,6.4,3064,3.241,6,India,,
tm452440,Cinderela Pop,MOVIE,"Cintia is modern princess, she's connected, decided and loves music. This ""pop"" princess used to live with their parents in a huge castle with a nice view to the city. Every night she looked through the window and watch the view dreaming with a prince she didn't met yet. But one day her castle crumbles with everything around her, after her parents divorce she went to live with her aunt and stops believing in love.  What she didn't knew was that there was a charming prince in her history, that wanted to break the ice around our modern day cinderella.",2019,NA,94,"['romance', 'music', 'family']",BR,NA,tt8716800,4.5,1046,12.797,6.5,Brazil,,
tm1039168,Cinema Bandi,MOVIE,A struggling rickshaw driver?? life takes a rollicking turn when he comes upon an expensive camera and decides to make a film with his fellow villagers.,2021,NA,98,"['comedy', 'drama']",IN,NA,tt14558738,8,2416,2.638,7.4,India,,
tm206512,Circle,MOVIE,"In a massive, mysterious chamber, fifty strangers awaken to find themselves trapped with no memory of how they got there. Organized in an inward-facing circle and unable to move, they quickly learn that every two minutes, one of them must die... executed by a strange device in the center of the room.",2015,NA,87,"['scifi', 'thriller', 'horror', 'drama', 'european']",US,NA,tt4473464,6,52925,12.217,6,United States,,
tm470560,Circus of Books,MOVIE,"For decades, a nice Jewish couple ran Circus of Books, a porn shop and epicenter for gay LA. Their director daughter documents their life and times.",2019,NA,92,"['documentation', 'history']",US,NA,tt8727582,7.1,4571,9.292,7,United States,,
tm946795,Citation,MOVIE,A bright student in Nigeria takes on the academic establishment when she reports a popular professor who tried to rape her. Based on real events.,2020,NA,151,"['thriller', 'drama']",NG,NA,tt11481312,6.1,958,6.216,7.4,Nigeria,,
tm428453,Cities of Last Things,MOVIE,"This is a story about a common man who has extraordinary events in his mundane life. The film depicts the protagonist's turns of events in three eras, three seasons, three nights, in the same city, as told with reverse chronology.",2018,NA,106,"['crime', 'drama', 'scifi']",TW,NA,tt4397342,6.2,1615,5.868,6.4,Taiwan,,
tm147518,City of God: 10 Years Later,MOVIE,City of God ??10 Years Later investigates what happened to the actors who took part in the award-winning film directed by Fernando Meirelles and Katia Lund. This documentary shows what City of God?? worldwide success meant to their lives. Were the actors prepared for the film?? success? Did the social background of some of them prove stronger than the opportunity that came their way?,2013,PG,69,['documentation'],BR,NA,tt4103686,6.4,1299,10.181,6.9,Brazil,,
tm315345,City of Joy,MOVIE,"The Democratic Republic of Congo has endured 20 years of devastating violence. Rape has been used as a weapon of war to destroy community and access precious minerals. Congo is often referred to as ??he worst place in the world to be a woman.??""City of Joy"" tells a different story of the region. The film focuses on Jane, a student at a center where women who have suffered unimaginable abuse join together to become leaders. We also meet the founders of the center: a devout Congolese Doctor, a Congolese activist, and a radical N.Y. playwright. The film weaves between joy and pain as these individuals band together to demand hope in a place so often deemed hopeless.",2016,NA,74,"['documentation', 'crime', 'drama', 'thriller', 'war']",CD,NA,tt6290168,7.5,525,2.208,7.5,Congo (Democratic Republic),,
tm247631,Clair Obscur,MOVIE,"?ehnaz, a young female psychiatrist from Istanbul starts mandatory duty in a provincial town. Back in the city, she maintains a marriage that looks flawless on the outside. Elmas, a young woman on the verge of breakdown, opens a new path in her.",2016,NA,100,"['drama', 'european']",TR,NA,tt4373956,6.5,2374,3.914,6.3,Turkey,,
tm1045018,Clash,MOVIE,A man from Nigeria returns to his family in Canada and discovers that Western culture has changed his children in ways that he does not approve.,2021,NA,88,"['family', 'drama']",NG,NA,tt14620732,6.5,32,0.709,NA,Nigeria,,
tm921416,Class of '83,MOVIE,A hero policeman shunted to a punishment posting as the Dean of the police academy decides to punish the corrupt bureaucracy and its criminal allies in return by training five lethal assassin policemen.,2020,NA,98,"['crime', 'action', 'drama', 'thriller']",IN,NA,tt10230422,5.8,5571,3.639,5.6,India,,
tm935993,Classmates Minus,MOVIE,"A group of former high school pals who see their friendship put to test amid their struggles with love, marriage and careers.",2020,R,122,"['comedy', 'drama']",TW,NA,tt12899858,7.1,1543,4.316,7.5,Taiwan,,
tm78671,Cleaner,MOVIE,"Single father and former cop Tom Cutler has an unusual occupation: he cleans up death scenes. But when he's called in to sterilize a wealthy suburban residence after a brutal shooting, Cutler is shocked to learn he may have unknowingly erased crucial evidence, entangling himself in a dirty criminal cover-up.",2007,R,88,"['thriller', 'crime']",US,NA,tt0896798,6.1,41052,9.202,6,United States,,
tm186589,Cliffhanger,MOVIE,"A year after losing his friend in a tragic 4,000-foot fall, former ranger Gabe Walker and his partner, Hal, are called to return to the same peak to rescue a group of stranded climbers, only to learn the climbers are actually thieving hijackers who are looking for boxes full of money.",1993,R,112,"['thriller', 'action', 'animation']",IT,NA,tt0106582,6.5,128179,20.292,6.4,Italy,,
tm285171,Clinical,MOVIE,"A psychiatrist tries to put her life back together after a violent attack by seeking to repair the life of a new patient, but he has his own terrifying history.",2017,NA,104,"['thriller', 'horror']",US,NA,tt5577742,5.1,7904,14.594,5.3,United States,,
tm318200,Clive Davis: The Soundtrack of Our Lives,MOVIE,"The life and successes of iconic music executive Clive Davis, from his miraculous start at Columbia Records through his trailblazing work at Arista Records and J Records, with a heavy dose of outstanding music sprinkled in between.",2017,PG-13,123,"['music', 'documentation']",US,NA,tt6494358,7.5,950,7.169,6.3,United States,,
tm451512,Close,MOVIE,"A counter-terrorism expert takes a job protecting a young heiress. After an attempted kidnapping puts both of their lives in danger, they must flee.",2019,R,95,"['thriller', 'action', 'drama']",GB,NA,tt6896584,5.7,24063,16.264,5.8,United Kingdom,,
tm418870,Close Enemies,MOVIE,"Driss and Manuel both grew up on the same council estate. An estate where the sense of belonging to your patch is much stronger than the sense of belonging to a country, a nation or a culture... Manuel has assimilated this belonging, and he has even benefited from it and built his life on it. Driss, meanwhile, has shunned it. They will both have to face up to the consequences of their decisions ??because they will each have a price to pay??,2018,,111,['drama'",'thriller',"'european']""","['FR', 'BE']",NA,tt6527586,6.4,2607,9.299,5.9,NA,NA,#N/A,,
tm88738,Closer,MOVIE,Two couples disintegrate when they begin destructive adulterous affairs with each other.,2004,R,94,"['drama', 'romance']",GB,NA,tt0376541,7.2,215678,55.362,6.8,United Kingdom,,
tm171292,Cloudburst,MOVIE,"When Dot's granddaughter puts her into a nursing home, Stella stages a breakout, and takes Dot to Canada so they can get married. They pick up a hitchhiker along the way.",2011,NA,93,"['romance', 'drama', 'comedy']",US,NA,tt1466054,7.2,2281,6.12,6.4,United States,,
tm150260,Cloudy with a Chance of Meatballs,MOVIE,"Inventor Flint Lockwood creates a machine that makes clouds rain food, enabling the down-and-out citizens of Chewandswallow to feed themselves. But when the falling food reaches gargantuan proportions, Flint must scramble to avert disaster. Can he regain control of the machine and put an end to the wild weather before the town is destroyed?",2009,PG,90,"['animation', 'drama', 'romance', 'comedy', 'family', 'fantasy', 'scifi']",US,NA,tt0844471,6.9,226225,54.58,6.6,United States,,
tm187979,Cloudy with a Chance of Meatballs 2,MOVIE,"After the disastrous food storm in the first film, Flint and his friends are forced to leave the town. Flint accepts the invitation from his idol Chester V to join The Live Corp Company, which has been tasked to clean the island, and where the best inventors in the world create technologies for the betterment of mankind. When Flint discovers that his machine still operates and now creates mutant food beasts like living pickles, hungry tacodiles, shrimpanzees and apple pie-thons, he and his friends must return to save the world.",2013,PG,95,"['comedy', 'family', 'fantasy', 'scifi', 'drama', 'animation']",US,NA,tt1985966,6.3,100637,41.511,6.4,United States,,
